Row,Block,Tree,nursery_id,year_planted,guard_tree,check_tree,dead_tree,PLANTID,PLANTID_ALT1,ACCID,ACP,ACNO,ACS,kentville_block,origin,apple_id,type
4,North,61,5186,2013,0,0,0,Delikates,,24826,PI,590155,.06,NULL,USDA,449,dessert
12,South,57,5187,2013,0,0,1,Delikates,,24826,PI,590155,.06,NULL,USDA,449,dessert
19,North,15,4325,2013,0,0,0,Democrat,,9223,PI,589111,.07,NULL,USDA,382,dessert
15,South,2,4327,2013,0,0,0,Democrat,,9223,PI,589111,.07,NULL,USDA,382,dessert
13,North,4,5060,2013,0,0,0,"Dermen Black Stayman",,10440,PI,589152,.08,NULL,USDA,407,dessert
2,South,53,5062,2013,0,0,1,"Dermen Black Stayman",,10440,PI,589152,.08,NULL,USDA,407,dessert
15,North,14,5130,2013,0,0,0,"Devonshire Quarrenden",,18245,PI,589581,.07,NULL,USDA,430,dessert
18,South,37,5131,2013,0,0,0,"Devonshire Quarrenden",,18245,PI,589581,.07,NULL,USDA,430,dessert
17,North,23,6178,2013,0,0,0,Diana,,6285,PI,588962,.13,NULL,USDA,552,dessert
10,North,62,6179,2013,1,0,0,Diana,,6285,PI,588962,.13,NULL,USDA,552,dessert
7,South,47,6180,2013,0,0,1,Diana,,6285,PI,588962,.13,NULL,USDA,552,dessert
5,North,54,5019,2013,0,0,0,"Directeur Lesage",,18305,PI,589589,.07,NULL,USDA,393,dessert
6,South,52,5020,2013,0,0,0,"Directeur Lesage",,18305,PI,589589,.07,NULL,USDA,393,dessert
